assignment_id,SLS,nama_usaha_bang,jenis_prelist,ada_bang_usaha_label,link_fasih
e867ccb8-143e-4db4-a516-5ec21ac37067,71031000240003,INDUSTRI KOPRA (SUDIRMAN) ,UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/e867ccb8-143e-4db4-a516-5ec21ac37067
e8e9f4f5-5c37-4eea-bffc-4435e0e6d8dd,71031100010001,PUSKESMAS KENDAHE,OSS Badan Usaha,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/e8e9f4f5-5c37-4eea-bffc-4435e0e6d8dd
ecdccb97-03b5-4cb5-9f9e-80ded4ac612c,71031000280001,WARUNG SEMBAKO (SARAPUDIN) ,UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/ecdccb97-03b5-4cb5-9f9e-80ded4ac612c
fed767ce-3a39-45e8-9f92-aef351018cde,71030910040005,"BINA KARYA TEKNIK, CV",UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/fed767ce-3a39-45e8-9f92-aef351018cde
0cf17f23-da6b-4d51-93ef-a79e0e7eadbe,71030800080001,WARUNG MAKAN (FEMMY MALEMBORISE),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/0cf17f23-da6b-4d51-93ef-a79e0e7eadbe
7076ddd6-38bc-4986-ab90-e18f71479ed3,71030900080008,DEVI FRANSISCA INEKE MANAGHUPIA,OSS Perorangan,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/7076ddd6-38bc-4986-ab90-e18f71479ed3
8be6ba91-41a9-407e-a510-6358e4dbcad2,71030500090003,WARUNG SEMBAKO(AGNES),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/8be6ba91-41a9-407e-a510-6358e4dbcad2
8d2852da-ea23-494a-ba2b-48b7b23665a2,71031000140002,MENJUAL REMPAH-REMPAH (JOICE WAROKA),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/8d2852da-ea23-494a-ba2b-48b7b23665a2
be924875-7c79-42a9-bc00-faa65e0b28dc,71030600150001,KOBER MARANATHA BENTUNG,UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/be924875-7c79-42a9-bc00-faa65e0b28dc
f8fe3b29-3e43-432d-82ad-bc7a48ad7eb2,71030900080002,"LIOTA JAYA KONSTRUKSI, CV",OSS Badan Usaha,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/f8fe3b29-3e43-432d-82ad-bc7a48ad7eb2
50624eb0-2365-41cb-a051-c8d0a1eef34a,71030920050007,ES TELER (RISKA ANGGREITA) ,UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/50624eb0-2365-41cb-a051-c8d0a1eef34a
b619cb68-4448-4b4c-97a5-cb9f93671b6b,71030900070009,"EMPAT PILAR SANGIHE, PT",UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/b619cb68-4448-4b4c-97a5-cb9f93671b6b
08ed02a1-0544-4ca0-9b41-fbfb33232fd4,71030500110001,JASA PENJAHIT (DINTJE PANAWAR),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/08ed02a1-0544-4ca0-9b41-fbfb33232fd4
0f70d520-15a8-46bb-9867-bf1e02bbc6b3,71030400100001,MAGRIKS TAMBARU,OSS Perorangan,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/0f70d520-15a8-46bb-9867-bf1e02bbc6b3
1128ef5d-1295-40f8-a8c1-d942d05dbd7d,71031000050002,TUKANG JAHIT (HOPNI),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/1128ef5d-1295-40f8-a8c1-d942d05dbd7d
19f0b840-ae24-4b86-9ebf-6a3bf7fe0d15,71030900100007,KANTIN SDN 4 TAHUNA (MARIANSI AHAD ),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/19f0b840-ae24-4b86-9ebf-6a3bf7fe0d15
1b4a3a0d-c8d3-48b6-85ab-4cb0083a2b97,71030800090003,PULSA (MEYKE TOBIAS),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/1b4a3a0d-c8d3-48b6-85ab-4cb0083a2b97
20c5752c-247a-4d37-91f0-3bc44a5f7f23,71030900120005,KIOS EVLOGIA CHRISTIAN IMANUEL KATIANDAGHO,UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/20c5752c-247a-4d37-91f0-3bc44a5f7f23
23a24151-4aca-452e-825f-546a9d08ad5e,71030600080001,MENJUAL BENSIN (MARZAMAN LIGANDA),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/23a24151-4aca-452e-825f-546a9d08ad5e
26ed4c65-bff1-4bc7-a337-e37df8ff2d7b,71030400140003,PEMBUATAN KOPRA BAPAK AFTER,UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/26ed4c65-bff1-4bc7-a337-e37df8ff2d7b
282c1013-6f01-4252-a567-81b197153d07,71030900100002,SIANTO TANDAYU,OSS Perorangan,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/282c1013-6f01-4252-a567-81b197153d07
2d0664aa-669b-4655-a044-43da7ef1d76f,71030910040006,SMK NEGERI 2 TAHUNA,UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/2d0664aa-669b-4655-a044-43da7ef1d76f
3b100c3a-79c3-4c4d-99fe-b89c9c8c900b,71030700060003,WARUNG SEMBAKO FATRISIA MANANOHAS,UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/3b100c3a-79c3-4c4d-99fe-b89c9c8c900b
